id,time,temp,humi
1,1537167013,3.90,-999.00
2,1537167318,4.00,-999.00
3,1537167623,4.00,-999.00
4,1537167928,3.90,-999.00
5,1537168233,4.10,-999.00
6,1537168537,3.80,-999.00
7,1537168842,4.10,-999.00
8,1537169147,3.70,-999.00
9,1537169452,4.20,-999.00
10,1537169758,3.70,-999.00
11,1537170063,4.20,-999.00
12,1537170368,3.60,-999.00
13,1537170673,4.30,-999.00
14,1537170978,3.70,-999.00
15,1537171283,4.20,-999.00
16,1537171588,3.70,-999.00
17,1537171892,4.20,-999.00
18,1537172197,3.70,-999.00
19,1537172502,4.20,-999.00
20,1537172807,3.80,-999.00
21,1537174942,3.80,-999.00
22,1537175247,4.20,-999.00
23,1537175552,3.70,-999.00
24,1537175857,4.20,-999.00
25,1537176162,3.70,-999.00
26,1537176468,4.20,-999.00
27,1537176772,3.70,-999.00
28,1537177077,4.20,-999.00
29,1537177382,3.70,-999.00
30,1537177688,4.30,-999.00
31,1537177993,3.70,-999.00
32,1537178298,4.20,-999.00
33,1537178602,3.80,-999.00
34,1537178907,4.20,-999.00
35,1537179211,3.90,-999.00
36,1537179517,4.10,-999.00
37,1537179823,4.00,-999.00
38,1537180127,4.00,-999.00
39,1537180432,4.10,-999.00
40,1537180738,3.80,-999.00
