id,time,temp,humi
213,1535708293,4.35,94.94
214,1535708592,5.33,91.02
215,1535708892,4.74,72.42
216,1535709191,3.97,69.95
217,1535709490,4.57,96.27
218,1535709790,5.12,81.68
219,1535710089,4.57,71.46
220,1535710388,3.84,77.89
221,1535710687,5.12,97.42
222,1535710986,5.00,76.23
223,1535711285,4.35,70.82
224,1535711585,3.84,85.83
225,1535711884,5.37,96.35
226,1535712183,4.91,74.45
227,1535712482,4.22,70.49
228,1535712781,4.05,92.35
229,1535713080,5.42,93.43
230,1535713380,4.78,72.75
231,1535713679,4.01,70.05
232,1535713978,4.48,96.04
233,1535714278,5.17,83.21
234,1535714577,4.61,71.80
235,1535714876,3.84,71.88
236,1535715175,4.91,97.11
237,1535721457,4.31,70.39
238,1535721757,3.92,88.99
239,1535722056,5.42,94.89
240,1535725347,5.04,97.42
241,1535725647,5.04,76.65
242,1535725946,4.39,71.16
243,1535726246,3.79,82.68
244,1535726545,5.33,97.31
245,1535726844,4.91,74.79
246,1535727143,4.27,70.59
247,1535727442,4.01,91.27
248,1535727741,5.42,94.04
249,1535728040,4.78,72.86
250,1535728938,5.17,83.10
251,1535729237,4.61,71.67
252,1535729536,3.88,73.57
253,1535729836,5.04,97.42
254,1535730135,5.00,76.65
255,1535730434,4.39,70.93
256,1535730733,3.88,86.28
257,1535731032,5.37,96.11
258,1535731331,4.87,73.81
259,1535731631,4.14,70.18
260,1535731930,4.27,94.40
261,1535732229,5.28,90.56
262,1535732528,4.69,72.32
263,1535732827,3.92,69.84
264,1535733127,4.69,96.76
265,1535733426,5.08,79.49
266,1535733725,4.48,71.26
267,1535734024,3.79,78.99
268,1535734323,5.21,97.68
269,1535734622,4.95,75.10
270,1535734922,4.27,70.39
271,1535735221,4.05,91.77
272,1535735520,5.42,93.70
273,1535735819,4.78,72.96
274,1535736118,4.05,69.84
275,1535736418,4.57,96.16
276,1535736717,5.12,81.68
277,1535737016,4.57,71.46
278,1535737315,3.84,76.16
279,1535737614,5.12,97.54
280,1535737913,4.95,75.33
281,1535738212,4.31,70.39
282,1535738512,3.97,90.66
283,1535738811,5.42,94.28
284,1535739110,4.78,73.06
285,1535739409,4.05,69.74
286,1535739708,4.57,96.16
287,1535740007,5.17,81.58
288,1535740307,4.57,71.46
289,1535740606,3.84,75.40
290,1535740905,5.08,97.54
291,1535741204,5.00,76.10
292,1535741503,4.35,70.59
293,1535741803,3.92,89.25
294,1535742102,5.42,95.01
295,1535742401,4.82,73.40
296,1535742700,4.09,69.84
297,1535742999,4.35,95.43
298,1535743298,5.21,86.48
299,1535743597,4.61,71.80
300,1535743897,3.88,71.13
301,1535744196,4.91,97.11
302,1535744495,5.04,77.31
303,1535744794,4.39,70.82
304,1535745093,3.84,85.51
305,1535745392,5.21,97.19
306,1535745692,4.95,74.79
307,1535745991,4.27,69.95
308,1535746290,4.18,93.33
309,1535746589,5.33,91.87
310,1535746888,4.69,72.21
311,1535747188,3.92,69.74
312,1535747487,4.82,96.88
313,1535747786,5.04,78.18
314,1535748085,4.44,70.93
315,1535748384,3.88,86.28
316,1535748683,5.42,96.00
317,1535748983,4.87,73.40
318,1535749282,4.09,69.74
319,1535749581,4.44,95.66
320,1535749880,5.17,84.32
321,1535750179,4.57,71.57
322,1535750478,3.84,77.47
323,1535750778,5.21,97.68
324,1535751077,4.95,75.33
325,1535751376,4.27,70.39
326,1535751675,4.01,91.66
327,1535751974,5.42,93.82
328,1535752273,4.74,72.54
329,1535752573,3.97,69.74
330,1535752872,4.74,96.65
331,1535753171,5.08,79.04
332,1535753470,4.48,71.05
333,1535753769,3.88,84.97
334,1535754069,5.37,96.35
335,1535754368,4.87,74.04
336,1535754667,4.18,70.18
337,1535754966,4.31,94.63
338,1535755265,5.24,88.35
339,1535755564,4.61,71.36
340,1535755864,3.88,75.60
341,1535756163,5.12,97.54
342,1535756462,5.00,75.85
343,1535756761,4.31,70.18
344,1535757060,4.05,91.51
345,1535757360,5.47,93.82
346,1535757659,4.78,72.75
347,1535757958,4.01,70.05
348,1535758257,4.57,96.39
349,1535758556,5.12,80.81
350,1535758855,4.48,71.05
351,1535759759,4.91,74.45
352,1535760058,4.18,69.64
353,1535760357,4.31,94.52
354,1535760656,5.28,89.95
355,1535760956,4.65,71.90
356,1535761255,3.88,72.83
357,1535761554,4.95,97.23
358,1535761853,5.00,76.50
359,1535762152,4.31,70.49
360,1535762452,4.05,91.39
361,1535762751,5.42,93.82
362,1535763050,4.74,72.54
363,1535763349,3.97,69.95
